title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Richard III,"['Drama', 'War']",['English'],104.0,Shakespeare's Play transplanted into a 1930s setting.,False,1995-12-29,"I can smile, and murder while I smile",6.9,"['shakespeare', 'play', 'transplanted']","['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Kristin Scott Thomas', 'Adrian Dunbar', 'Maggie Smith', 'Tim McInnerny', 'Robert Downey Jr.', 'Edward Hardwicke', 'Nigel Hawthorne', 'Jim Carter', 'Dominic West', 'John Wood', 'Roger Hammond', 'Bill Paterson', 'Donald Sumpter', 'James Dreyfus', 'Derek Lyons']"
Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",['English'],119.0,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",False,1995-10-06,"In this daring heist, the only color that counts is green",6.6,"['issues', 'depicts', 'heist']","['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez', 'Rose Jackson', ""N'Bushe Wright"", 'Clifton Powell', 'Terrence Howard', 'Bokeem Woodbine', 'Sticky Fingaz', 'Clifton Collins Jr', 'Elizabeth Rodriguez', 'Michael Imperioli']"
Mortal Kombat,"['Action', 'Fantasy']",['English'],101.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",False,1995-08-18,Nothing In This World Has Prepared You For This.,5.4,"['evil', 'mortal', 'nine']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson', 'Talisa Soto', 'Trevor Goddard', 'Chris Casamassa', 'François Petit', 'Keith Cooke', 'Ed Boon']"
To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",['English'],106.0,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",False,1995-05-20,All she wanted was a little attention.,6.7,"['susan', 'wants', 'work']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas', 'Alison Folland', 'Dan Hedaya', 'Wayne Knight', 'David Cronenberg', 'Kurtwood Smith', 'Holland Taylor', 'Susan Traylor', 'Maria Tucci', 'Tim Hopper']"
How To Make An American Quilt,"['Drama', 'Romance']",['English'],116.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",False,1995-10-06,There's beauty in the patterns of life.,6.5,"['finn', 'hy', 'glady']","['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons', 'Maya Angelou', 'Alfre Woodard', 'Dermot Mulroney', 'Lois Smith', 'Kate Capshaw', 'Rip Torn', 'Johnathon Schaech', 'Samantha Mathis', 'Joanna Going', 'Esther Rolle', 'Jared Leto', 'Claire Danes', 'Lecy Goranson', 'Holland Taylor', 'Tim Guinee', ""Derrick O'Connor"", 'Loren Dean', 'Melinda Dillon', 'Richard Jenkins', 'Denis Arndt', 'Adam Baldwin', 'Michael McElroy', 'Ari Meyers', 'Jane Alden', 'Tamala Jones', ""Rae'Ven Larrymore Kelly"", 'Alicia Goranson', 'Will Estes', 'Mykelti Williamson']"
Se7en,"['Crime', 'Mystery', 'Thriller']",['English'],127.0,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",False,1995-09-22,Seven deadly sins. Seven ways to die.,8.1,"['killer', 'two', 'homicide']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey', 'R. Lee Ermey', 'Richard Roundtree', 'Richard Schiff', 'Julie Araskog', 'Mark Boone Junior', 'John Cassini', 'Reg E. Cathey', 'Peter Crombie', 'Hawthorne James', 'Michael Massee', 'Leland Orser', 'Richard Portnow', 'Daniel Zacapa', 'Alfonso Freeman', 'Harris Savides', 'Andrew Kevin Walker', 'Richmond Arquette', 'Pamala Tyson', 'Emily Wagner', 'Shannon Wilcox', 'George Christy', 'Endre Hules', 'William Davidson', 'Bob Collins', 'Dominique Jennings', 'Allan Kolman', 'Gene Borkan', 'Mario Di Donato', 'Harrison White', 'Bob Stephenson', 'Michael Reid MacKay', 'Lennie Loftin', 'Martin Serene', 'David Correia', 'Lexie Bigham', 'Evan Mirand', 'Paul Eckstein', 'Rachel Flanagan', 'Heidi Schanz', 'Brian Evers', 'James Deeth', 'Charles A. Tamburro', 'Charles S. Dutton', 'Arthur Max']"
Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",['English'],81.0,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",False,1995-06-14,An American legend comes to life.,6.7,"['comes', 'face', 'history']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Judy Kuhn', 'Linda Hunt', 'Danny Mann', 'Billy Connolly', 'Joe Baker', 'Frank Welker', 'Michelle St. John', 'James Apaumut Fall', 'Gordon Tootoosis', 'Jim Cummings']"
The Usual Suspects,"['Drama', 'Crime', 'Thriller']","['English', 'French', 'Hungarian', 'Spanish']",106.0,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",False,1995-07-19,Five Criminals. One Line Up. No Coincidence.,8.1,"['verbal', 'crime', 'lord']","['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite', 'Kevin Spacey', 'Suzy Amis', 'Giancarlo Esposito', 'Benicio del Toro', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Christine Estabrook', 'Clark Gregg', 'Morgan Hunter', 'Louis Lombardi', 'Frank Medrano', 'Ron Gilbert']"
Guardian Angel,"['Action', 'Thriller', 'Drama']",['English'],93.0,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",False,1994-11-22,She's no angel of mercy.,6.3,[],"['Cynthia Rothrock', 'Marshall R. Teague', 'Daniel McVicar', 'Lydie Denier', ""John O'Leary"", 'Art Camacho', 'Robert Miano']"
The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']","['English', 'Deutsch']",100.0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",False,1995-09-29,The biggest kick of the year!,5.2,"['anna', 'kids', 'depressed']","['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry', 'Bug Hall', 'Jessica Robertson', 'Patrick Renna', 'Billy L. Sullivan', 'Chauncey Leopardi', 'Jordan Brower', 'Hayley Kolb', 'Haley Miller', 'Ashley Welch']"
Georgia,['Drama'],['English'],115.0,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",False,1995-05-19,The toughest act to follow was their dreams.,6.1,"['sadie', 'sister', 'looks']","['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich', 'John Doe', 'John C. Reilly', 'Jimmy Witherspoon', 'Jason Carter']"
Home for the Holidays,"['Comedy', 'Drama', 'Romance']","['English', 'Spanish']",103.0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",False,1995-11-02,We'll do it every year..until we get it right,6.3,"['losing', 'job', 'making']","['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft', 'Charles Durning', 'Claire Danes', 'Dylan McDermott', 'Geraldine Chaplin', 'Steve Guttenberg', 'David Strathairn', 'Cynthia Stevenson']"
Eye for an Eye,"['Drama', 'Thriller']","['English', 'French', 'Korean, Korean language', 'Spanish']",101.0,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",False,1996-01-12,What do you do when justice fails?,5.8,"['fire', 'brimstone', 'time']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo"", 'Charlayne Woodard', 'Joe Mantegna', 'Olivia Burnette', 'Alexandra Kyle', 'Keith David', 'Philip Baker Hall', 'Natalija Nogulich', 'Armin Shimerman', 'Nicholas Cascone', 'Darrell Larson', 'Cynthia Rothrock', 'Wanda Acuna', 'Sierra Pecheur']"
Mr. Holland's Opus,"['Music', 'Drama', 'Family']",['English'],137.0,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",False,1995-12-29,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",6.9,"['holland', '1965', 'passionate']","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy', 'Alicia Witt', 'Nicholas John Renner', 'Joseph Anderson', 'Anthony Natale', 'Jean Louisa Kelly', 'Terrence Howard', 'Damon Whitaker', 'Alexandra Boyd', 'Joanna Gleason', 'Beth Maitland', 'Joshua Minnick']"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],"['English', 'Spanish']",89.0,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",False,1996-01-12,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",6.2,"['ashtray', 'wayans', 'shawn']","['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer', 'Vivica A. Fox', ""Rappin' Granny"", 'Suli McCullough', 'Bernie Mac', 'Faizon Love', 'Keenen Ivory Wayans', 'Kim Wayans', 'Helen Martin', 'Virginia Watson', 'Darrel Heath']"
Two If by Sea,"['Comedy', 'Romance']",['English'],96.0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",False,1996-01-12,"A new comedy about love, laughter, and larceny",4.5,"['frank', 'roz', 'painting']","['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto', 'Stephen Dillane', 'Tracey Cherelle Jones', 'Julia Montgomery Brown', 'Claire Rankin', 'Jane Moffat', 'Mike Starr', 'Jonathan Tucker', 'Wayne Robson', 'Michael Badalucco']"
Bio-Dome,['Comedy'],"['English', 'Russian']",88.0,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",False,1996-01-12,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,4.4,"['bud', 'doyle', 'two']","['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams', 'Teresa Hill', 'William Atherton', 'Dara Tomanovich', 'Kevin West', 'Denise Dowse', 'Kylie Minogue', 'Kyle Gass', 'Jack Black', 'Rose McGowan']"
Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']","['English', 'Hungarian']",92.0,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",False,1996-01-12,"God made him simple. Science made him a god. Now, he wants revenge.",2.8,"['walker', 'jobe', 'would']","['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien"", 'Ely Pouget', 'Camille Cooper', 'Patrick LaBrecque', 'Crystal Celeste Grant', 'Sean P. Young', 'Mathew Valencia', 'Kevin Conway', ""Trever O'Brien"", 'Richard Fancy', 'Castulo Guerra', 'Molly Shannon', 'Ellis E. Williams']"
Two Bits,"['Drama', 'Family']",['English'],85.0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",False,1995-10-22,You're never too old to believe in a dream. Or too young to make one come true!,5.4,[],"['Jerry Barone', 'Al Pacino', 'Mary Elizabeth Mastrantonio', 'Joe Grifasi', 'Geoff Pierson']"
Friday,['Comedy'],['English'],91.0,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",False,1995-04-26,A lot can go down between thursday and saturday...,7.0,"['craig', 'smokey', 'two']","['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.', 'John Witherspoon', 'Anna Maria Horsford', 'Regina King', 'Paula Jai Parker', 'Faizon Love', 'DJ Pooh', 'Tony Cox', 'Anthony Johnson', 'Bernie Mac', 'Meagan Good', 'Terri J. Vaughn', 'F. Gary Gray', 'Reynaldo Rey', 'Michael Clarke Duncan']"
From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']","['English', 'Spanish']",108.0,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",False,1996-01-19,One night is all that stands between them and freedom. But it's going to be a hell of a night.,6.9,"['seth', 'gecko', 'younger']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu', 'Salma Hayek', 'Cheech Marin', 'Danny Trejo', 'Tom Savini', 'Fred Williamson', 'Michael Parks', 'Brenda Hillhouse', 'John Saxon', 'Marc Lawrence', 'Kelly Preston', 'John Hawkes', 'Tito Larriva', 'Peter Atanasoff', 'Johnny Vatos Hernandez', 'Aimee Graham', 'Heidi McNeal', 'Ernest M. Garcia', 'Gregory Nicotero', 'Cristos', 'Mike Moroff', 'Tia Texada', 'Janine Jordae', 'Ungela Brockman', 'Michelle Berube', 'Michael McKay', 'Jake McKinnon', 'Walter Phelan', 'Wayne Toth']"
